shot_id,nodes,treatment,camera_anchor,visual_state,character_layers,prop_layers,reachable_after_future_approval_and_binding,current_asset,current_runtime_art,source
opening.axiom.shot04-desk,commute.arrival,NEW COMPOSITION,A,1 Daniel waits; Adrian has not approached,Daniel,none,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.office.shot01-daniel,office.daniel,LAYER VARIANT,A,2 completed approach,Adrian-neutral + Daniel,none,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.office.shot01-departed,office.benton intermediate only,LAYER VARIANT,A,Unaddressable intermediate; excluded,remove Daniel; do not add Benton early,none,False,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.office.shot02-benton,office.benton,LAYER VARIANT,A,3 Benton at desk,Adrian-neutral + Benton,slate in Benton hand,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.office.shot03-file,office.departure,PROP VARIANT,A,4 Benton absent; slate awake,Adrian-neutral,slate on desk,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.helix.shot01-brief,helix.brief,REUSE,B crop of A,5 workstation evidence hold,none required in crop,slate + neutral terminal,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.helix.shot02-documents,helix.documents; helix.analysis,INTENTIONAL HOLD,B,"5 reused, not new count",same crop,earned evidence in existing UI,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.helix.shot03-review,helix.review,INTENTIONAL HOLD,B,5 reused; still unsent,same crop,"selected report in UI, no sent mask",True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.helix.shot04-submitted,helix.submitted,PROP VARIANT,B,6 completed terminal send,same crop,neutral sent variant; Benton only,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.maya.shot01-coffee,maya.promotion; maya.invitation; maya.case,LAYER VARIANT,A,7 Maya visit; optional deflect cup slide adds conditional state,Adrian-neutral + Maya-coffee,1 desk cup + 1 Maya cup; slate retained,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.maya.shot02-departure,maya.goodbye,LAYER VARIANT,A,8 actual departure,Adrian-neutral + Maya-departing,1 Adrian cup; Maya leaves with own,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
opening.office.shot04-alone,ending.complete,LAYER / PROP VARIANT,A,9 alone sip,Adrian-sip; no Maya,single Adrian cup in hand; no duplicate,True,NONE,UNBOUND / text fallback,src/ui/scene-art.ts openingShot; src/content/scenes.ts; src/content/dialogue.ts
