node,time_of_day,characters_present,entry_exit_direction,desk_position,chair_position,phone_state,coat_state,badge_state,lighting,benton_slate,helix_terminal_file,coffees,evidence_state,camera_requirement,evidence_source
commute.arrival,08:10,Adrian travelling; Daniel waiting at desk; security guards in lobby only,Home > curb > tower doors > security > inner gate > elevator > floor; next action approaches desk. Compass directions unassigned.,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Pocket > tray > recovered; do not duplicate,Usual coat worn > tray > recovered; closet jacket remains separate,Scanned at reader and inner gate; no badge restriction,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,Not introduced,No Helix assignment yet,0 authored,None yet,"A endpoint: Daniel waiting; Adrian outside frame, not already at desk",src/content/scenes.ts:88-106
office.daniel,08:11,Adrian standing; Daniel at desk/divider,Adrian has approached; Daniel waits. Daniel workstation two desks over; side not authored.,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,Not present,No acquired case state,0 authored,Promotion news only,A + standing Adrian; hold responses,src/content/scenes.ts:110-124; src/content/dialogue.ts promotion.*
office.benton,08:14,"Daniel leaves, then Adrian standing + Benton",Daniel pushes off divider and leaves; director smoked-glass door opens; Benton crosses to desk edge. Do not show simultaneous final pairings.,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,One thin black slate carried by Benton,No shared claim of opened file before selected response,0 authored,Narrow Helix/Novagen assignment given,A: replace Daniel with Benton; intermediate walk unaddressable,src/content/scenes.ts:127-143
office.departure,08:16,Adrian; Benton returns to his office,"All Benton replies place slate on desk, then Benton departs; final state no Benton",Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,On Adrian desk in every response; hand no longer holds it,Helix file wakes ON SLATE. promotion branch opens it earlier in response; no terminal transfer authored,0 authored,Deadline 12:00; distribution Benton only,"A: slate surface variant, Benton absent",src/content/scenes.ts:147-155; src/content/dialogue.ts benton.obey/push/promotion
helix.brief,08:18,Adrian; Marcus is named only,No relocation/posture movement authored,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,Desk state carries forward; not confiscated or returned,Brief opened after slate assignment; do not invent transfer,0 authored,"Helix/Novagen rationale; Marcus sponsor, no proof of hidden theory",B same-camera object crop,src/content/scenes.ts:159-173
helix.documents,"Casework, before 11:53",Adrian,No physical relocation,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,No new custody event,Casework UI records; no physical paper spread,0 authored,Only records actually read; at least two before analysis,B hold; existing UI shows earned content,src/content/scenes.ts:177-185
helix.analysis,"Casework, before 11:53",Adrian,"Connections/hint/investigate are UI actions, not new room movement",Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,No new custody event,"Same workstation, branch evidence in UI",0 authored,Read records and valid connections only; optional investigation varies,B hold; no answer illustration,src/content/scenes.ts:189-198
helix.review,11:53,Adrian,No physical move; conclusion revisable; no independent attachment-selection action,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,No new custody event,"Unsent review, not a sent confirmation",0 authored,"Chosen conclusion, reviewed records and recorded connections; no fabricated correctness",B intentional hold,src/content/scenes.ts:202-208; src/ui/Casework.tsx
helix.submitted,11:54,Adrian,Completed send; no recipient physically arrives,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,No authored removal; retain if visible,"Report explicitly leaves TERMINAL, Benton only; no prior transfer animation",0 authored,Chosen conclusion with reviewed records and recorded connections; no correct-theory badge,B neutral completed-send prop/UI variant,src/content/scenes.ts:212-220; src/ui/Casework.tsx
maya.promotion,12:06,Adrian + Maya; no Daniel/Benton,Maya crosses from compliance; sets one cup beside terminal and keeps one. Final frame after placement.,Fixed proposed master; source does not assign coordinates,"No authored position or motion; proposed fixed chair, no sitting event asserted",Recovered at security; subsequent exact location unestablished; off-frame,Usual commute coat recovered; later storage/wearing unestablished; off-frame; not closet jacket,Employee badge used at security; later position unestablished; no lanyard invented,Proposed diffuse office daylight; no authored fixture/direction or afternoon change,No authored removal; retain if visible,"Submitted report; header can be seen, not details","2 total: Adrian desk 1, Maya held 1",No new shared hidden facts from mere arrival,A Maya settled with split cup custody,"src/content/scenes.ts:224-234,323-337"
